n_scenarios,n_projects,repetition,maxowa_time,minowa_regret_time
5,10,1,0.01821279525756836,0.060172319412231445
5,10,2,0.01770496368408203,0.06476378440856934
5,10,3,0.015931367874145508,0.05978584289550781
5,10,4,0.015909194946289062,0.05859947204589844
5,10,5,0.018564701080322266,0.06015634536743164
5,10,6,0.017452001571655273,0.05961918830871582
5,10,7,0.016003847122192383,0.05878877639770508
5,10,8,0.017151832580566406,0.059429168701171875
5,10,9,0.015560150146484375,0.05727195739746094
5,10,10,0.014698505401611328,0.060479164123535156
5,10,11,0.018877267837524414,0.06180691719055176
5,10,12,0.01820969581604004,0.06060314178466797
5,10,13,0.015440940856933594,0.056618690490722656
5,10,14,0.0161740779876709,0.05827736854553223
5,10,15,0.017124652862548828,0.05899190902709961
5,10,16,0.01892232894897461,0.05957794189453125
5,10,17,0.016309022903442383,0.05970001220703125
5,10,18,0.017798423767089844,0.05825328826904297
5,10,19,0.017232894897460938,0.057672977447509766
5,10,20,0.019790172576904297,0.06047177314758301
5,10,21,0.017134428024291992,0.06398987770080566
5,10,22,0.018769502639770508,0.059697866439819336
5,10,23,0.018667221069335938,0.0629417896270752
5,10,24,0.017470836639404297,0.060623884201049805
5,10,25,0.017773866653442383,0.059470415115356445
5,10,26,0.017884492874145508,0.06270980834960938
5,10,27,0.01729607582092285,0.06297469139099121
5,10,28,0.020078659057617188,0.061266183853149414
5,10,29,0.01813530921936035,0.0593411922454834
5,10,30,0.015731334686279297,0.05924510955810547
5,10,31,0.017743825912475586,0.05962085723876953
5,10,32,0.018120288848876953,0.06328439712524414
5,10,33,0.016690731048583984,0.062192678451538086
5,10,34,0.017464399337768555,0.05691099166870117
5,10,35,0.017975568771362305,0.05739617347717285
5,10,36,0.017362356185913086,0.05995368957519531
5,10,37,0.01682424545288086,0.06049346923828125
5,10,38,0.01845574378967285,0.06230473518371582
5,10,39,0.01651930809020996,0.06322956085205078
5,10,40,0.01996445655822754,0.0601954460144043
5,10,41,0.018744468688964844,0.06073451042175293
5,10,42,0.01709604263305664,0.06312823295593262
5,10,43,0.0166323184967041,0.05819582939147949
5,10,44,0.0164949893951416,0.06365776062011719
5,10,45,0.017177343368530273,0.06217670440673828
5,10,46,0.01660013198852539,0.056591033935546875
5,10,47,0.017115116119384766,0.061534881591796875
5,10,48,0.01667332649230957,0.058373451232910156
5,10,49,0.016802549362182617,0.06521415710449219
5,10,50,0.01569986343383789,0.057149648666381836
5,15,1,0.02192068099975586,0.06516265869140625
5,15,2,0.021448135375976562,0.06391763687133789
5,15,3,0.021025896072387695,0.06502223014831543
5,15,4,0.01661086082458496,0.06411433219909668
5,15,5,0.01847362518310547,0.07042860984802246
5,15,6,0.018117904663085938,0.06411051750183105
5,15,7,0.019725322723388672,0.07272481918334961
5,15,8,0.018289804458618164,0.06901812553405762
5,15,9,0.019278526306152344,0.06806778907775879
5,15,10,0.02005600929260254,0.07101130485534668
5,15,11,0.01988697052001953,0.06289792060852051
5,15,12,0.01842784881591797,0.06633710861206055
5,15,13,0.017934560775756836,0.06266260147094727
5,15,14,0.019939899444580078,0.06124258041381836
5,15,15,0.020096778869628906,0.07325053215026855
5,15,16,0.01821160316467285,0.0691981315612793
5,15,17,0.02008962631225586,0.07372546195983887
5,15,18,0.01931929588317871,0.06322050094604492
5,15,19,0.018097400665283203,0.06199169158935547
5,15,20,0.017572402954101562,0.06701946258544922
5,15,21,0.017780780792236328,0.0659792423248291
5,15,22,0.017764568328857422,0.06811833381652832
5,15,23,0.01728367805480957,0.06081199645996094
5,15,24,0.018108606338500977,0.06813287734985352
5,15,25,0.019310951232910156,0.06320977210998535
5,15,26,0.019238710403442383,0.060624122619628906
5,15,27,0.01819443702697754,0.06751751899719238
5,15,28,0.0199737548828125,0.06693458557128906
5,15,29,0.017371177673339844,0.06131577491760254
5,15,30,0.02211284637451172,0.06597280502319336
5,15,31,0.020561933517456055,0.06650066375732422
5,15,32,0.019190073013305664,0.06336665153503418
5,15,33,0.020630598068237305,0.07149863243103027
5,15,34,0.01653575897216797,0.06427741050720215
5,15,35,0.02077484130859375,0.06879305839538574
5,15,36,0.017895936965942383,0.06676244735717773
5,15,37,0.0185546875,0.06456327438354492
5,15,38,0.020338773727416992,0.06429052352905273
5,15,39,0.018050193786621094,0.06380176544189453
5,15,40,0.02346348762512207,0.07068133354187012
5,15,41,0.01745295524597168,0.06035327911376953
5,15,42,0.018165111541748047,0.06709432601928711
5,15,43,0.018817663192749023,0.06858634948730469
5,15,44,0.01962423324584961,0.06820106506347656
5,15,45,0.021895885467529297,0.07381653785705566
5,15,46,0.018863201141357422,0.06634187698364258
5,15,47,0.017849206924438477,0.059580087661743164
5,15,48,0.01922917366027832,0.07303857803344727
5,15,49,0.019930362701416016,0.06396484375
5,15,50,0.0164947509765625,0.06956171989440918
5,20,1,0.022797346115112305,0.06914210319519043
5,20,2,0.02558732032775879,0.06729292869567871
5,20,3,0.021596908569335938,0.07283401489257812
5,20,4,0.023445606231689453,0.07198810577392578
5,20,5,0.02729320526123047,0.06829547882080078
5,20,6,0.02374410629272461,0.07114887237548828
5,20,7,0.02113199234008789,0.07417559623718262
5,20,8,0.019767045974731445,0.061890363693237305
5,20,9,0.025043249130249023,0.07173824310302734
5,20,10,0.021425724029541016,0.07698369026184082
5,20,11,0.01934814453125,0.0738072395324707
5,20,12,0.021265506744384766,0.07217240333557129
5,20,13,0.019222021102905273,0.06389975547790527
5,20,14,0.020729541778564453,0.07259273529052734
5,20,15,0.02124786376953125,0.07109498977661133
5,20,16,0.019860267639160156,0.06831145286560059
5,20,17,0.024096012115478516,0.07491183280944824
5,20,18,0.018285751342773438,0.07099604606628418
5,20,19,0.02381110191345215,0.0720663070678711
5,20,20,0.018828392028808594,0.06803607940673828
5,20,21,0.020540237426757812,0.07603120803833008
5,20,22,0.022405385971069336,0.07294106483459473
5,20,23,0.0184934139251709,0.07210803031921387
5,20,24,0.020732641220092773,0.06490349769592285
5,20,25,0.02004265785217285,0.06833767890930176
5,20,26,0.021347522735595703,0.06715559959411621
5,20,27,0.02031230926513672,0.07402467727661133
5,20,28,0.021631956100463867,0.06380033493041992
5,20,29,0.02134251594543457,0.07132983207702637
5,20,30,0.021372079849243164,0.07445883750915527
5,20,31,0.024201393127441406,0.07228899002075195
5,20,32,0.020540952682495117,0.07519650459289551
5,20,33,0.019917964935302734,0.07009625434875488
5,20,34,0.02119302749633789,0.06529045104980469
5,20,35,0.02308344841003418,0.06364321708679199
5,20,36,0.020123958587646484,0.06578707695007324
5,20,37,0.020096302032470703,0.06609201431274414
5,20,38,0.023221731185913086,0.0798943042755127
5,20,39,0.03186392784118652,0.08520746231079102
5,20,40,0.022682905197143555,0.0725865364074707
5,20,41,0.025142192840576172,0.0787041187286377
5,20,42,0.02319955825805664,0.0742349624633789
5,20,43,0.02034449577331543,0.06744074821472168
5,20,44,0.01978778839111328,0.07139301300048828
