n_scenarios,n_nodes,repetition,maxmin_time,minmax_regret_time,maxowa_time,minowa_regret_time
2,10,1,0.013444900512695312,0.03445911407470703,0.012957096099853516,0.03752923011779785
2,10,2,0.014650344848632812,0.037314653396606445,0.02103447914123535,0.04325294494628906
2,10,3,0.013669490814208984,0.0397946834564209,0.014197349548339844,0.04079627990722656
2,10,4,0.013116836547851562,0.04247474670410156,0.017302751541137695,0.048127174377441406
2,10,5,0.01447749137878418,0.036739349365234375,0.014797687530517578,0.038405418395996094
2,10,6,0.01424551010131836,0.037049293518066406,0.014192819595336914,0.031786203384399414
2,10,7,0.01361846923828125,0.033872127532958984,0.013613224029541016,0.03693985939025879
2,10,8,0.0120086669921875,0.03165912628173828,0.011154890060424805,0.033976078033447266
2,10,9,0.013603448867797852,0.03494000434875488,0.013059377670288086,0.036318302154541016
2,10,10,0.013171672821044922,0.03676295280456543,0.013384819030761719,0.04167509078979492
2,10,11,0.012529134750366211,0.03442955017089844,0.012979745864868164,0.03493618965148926
2,10,12,0.012633323669433594,0.0343015193939209,0.013204813003540039,0.039957523345947266
2,10,13,0.014163494110107422,0.03643798828125,0.014058113098144531,0.03733372688293457
2,10,14,0.01179647445678711,0.03194069862365723,0.012048721313476562,0.033438920974731445
2,10,15,0.014543771743774414,0.03560352325439453,0.010942697525024414,0.03314089775085449
2,10,16,0.012515068054199219,0.03386545181274414,0.010857820510864258,0.03311920166015625
2,10,17,0.011049270629882812,0.02997112274169922,0.012317657470703125,0.03142213821411133
2,10,18,0.014098882675170898,0.03849482536315918,0.013734817504882812,0.03907966613769531
2,10,19,0.014147758483886719,0.03474259376525879,0.013584613800048828,0.03542494773864746
2,10,20,0.012244939804077148,0.029388904571533203,0.01203775405883789,0.029937028884887695
2,10,21,0.013580083847045898,0.035309791564941406,0.013128280639648438,0.03850531578063965
2,10,22,0.013791322708129883,0.03515458106994629,0.012958526611328125,0.03669476509094238
2,10,23,0.012741804122924805,0.034271240234375,0.013115167617797852,0.03530526161193848
2,10,24,0.013040542602539062,0.035039424896240234,0.01040792465209961,0.0333099365234375
2,10,25,0.013334274291992188,0.035032033920288086,0.01112222671508789,0.03328537940979004
2,10,26,0.013753652572631836,0.03472113609313965,0.014720678329467773,0.03396940231323242
2,10,27,0.014258384704589844,0.03463435173034668,0.011581897735595703,0.03354024887084961
2,10,28,0.011535167694091797,0.029439449310302734,0.011424541473388672,0.030127763748168945
2,10,29,0.011864423751831055,0.0317685604095459,0.013172149658203125,0.033910274505615234
2,10,30,0.013733625411987305,0.03443765640258789,0.013187885284423828,0.035759687423706055
2,10,31,0.013668298721313477,0.035352468490600586,0.013143062591552734,0.03402376174926758
2,10,32,0.013772249221801758,0.036173343658447266,0.013602972030639648,0.036301374435424805
2,10,33,0.012834310531616211,0.03518104553222656,0.013037443161010742,0.03505539894104004
2,10,34,0.010898351669311523,0.03444862365722656,0.013556480407714844,0.03757429122924805
2,10,35,0.01123499870300293,0.03246927261352539,0.013068199157714844,0.03475618362426758
2,10,36,0.010983705520629883,0.028536319732666016,0.011423587799072266,0.02936100959777832
2,10,37,0.011006355285644531,0.02931380271911621,0.011454105377197266,0.029539108276367188
2,10,38,0.011182069778442383,0.02917003631591797,0.011446952819824219,0.02931356430053711
2,10,39,0.014775753021240234,0.03665947914123535,0.01354074478149414,0.04102587699890137
2,10,40,0.01279449462890625,0.03541254997253418,0.011301279067993164,0.03298306465148926
2,10,41,0.010709524154663086,0.027666330337524414,0.011979341506958008,0.02940058708190918
2,10,42,0.013882875442504883,0.0343327522277832,0.013251066207885742,0.03551840782165527
2,10,43,0.012176990509033203,0.02929520606994629,0.011770486831665039,0.031034469604492188
2,10,44,0.011981725692749023,0.03077220916748047,0.013014793395996094,0.0334014892578125
2,10,45,0.01142430305480957,0.03227496147155762,0.012845754623413086,0.03515291213989258
2,10,46,0.012574195861816406,0.03391695022583008,0.011002063751220703,0.03314375877380371
2,10,47,0.010591745376586914,0.029637575149536133,0.010997533798217773,0.030106782913208008
2,10,48,0.014032363891601562,0.03488349914550781,0.013211727142333984,0.03669595718383789
2,10,49,0.012443304061889648,0.03410673141479492,0.014451265335083008,0.03406953811645508
2,10,50,0.012069225311279297,0.027774810791015625,0.01122283935546875,0.02836465835571289
2,15,1,0.011316537857055664,0.028237104415893555,0.011420011520385742,0.029503345489501953
2,15,2,0.013865947723388672,0.035481929779052734,0.011299610137939453,0.03399252891540527
2,15,3,0.01390695571899414,0.035030364990234375,0.013178348541259766,0.038138628005981445
2,15,4,0.012175798416137695,0.029297590255737305,0.011406660079956055,0.029738187789916992
2,15,5,0.011338472366333008,0.028575658798217773,0.012194156646728516,0.030282258987426758
2,15,6,0.010954141616821289,0.028579235076904297,0.011542797088623047,0.029526710510253906
2,15,7,0.01186823844909668,0.028108835220336914,0.012195348739624023,0.030185937881469727
2,15,8,0.012128591537475586,0.031733036041259766,0.013434410095214844,0.03687572479248047
2,15,9,0.011649131774902344,0.02939748764038086,0.012589216232299805,0.030741214752197266
2,15,10,0.011574268341064453,0.03467583656311035,0.012051820755004883,0.03462553024291992
2,15,11,0.010954141616821289,0.0289762020111084,0.011481285095214844,0.029646635055541992
2,15,12,0.011843204498291016,0.033197641372680664,0.011903524398803711,0.03312563896179199
2,15,13,0.011871337890625,0.028539180755615234,0.012167692184448242,0.03013753890991211
2,15,14,0.01399374008178711,0.03514695167541504,0.013335227966308594,0.03661608695983887
2,15,15,0.013929128646850586,0.036019325256347656,0.013528108596801758,0.03598499298095703
2,15,16,0.011675596237182617,0.02888631820678711,0.011432170867919922,0.029461383819580078
2,15,17,0.011562347412109375,0.03407859802246094,0.013491630554199219,0.03857994079589844
2,15,18,0.01317453384399414,0.03644967079162598,0.013271331787109375,0.035958051681518555
2,15,19,0.011138439178466797,0.029549837112426758,0.012603282928466797,0.03119373321533203
